"gene_id","CD0-ND0","CD3-ND3","CD4-ND4"
"ATU_RS02090","None","None","None"
"ATU_RS02095","None","None","None"
"ATU_RS02100","None","None","None"
"ATU_RS02105","None","None","None"
"ATU_RS02110","None","None","None"
"ATU_RS02115","None","Up","Up"
"ATU_RS02120","None","Up","None"
"ATU_RS02125","None","Up","None"
"ATU_RS02130","None","None","None"
"ATU_RS02135","None","Up","None"
"ATU_RS02140","None","Up","None"
"ATU_RS02145","None","None","None"
"ATU_RS02150","None","Down","None"
"ATU_RS02155","None","Up","Up"
"ATU_RS02160","None","Up","Up"
"ATU_RS02165","None","Up","Up"
"ATU_RS02170","None","Up","Up"
"ATU_RS02175","None","Up","Up"
"ATU_RS02180","None","Up","None"
"ATU_RS02185","None","Up","None"
"ATU_RS02190","None","Up","None"
"ATU_RS02195","None","Up","Up"
"ATU_RS02200","None","None","None"
"ATU_RS02205","None","Up","Up"
"ATU_RS02210","None","Up","Up"
"ATU_RS02215","None","Up","Up"
"ATU_RS02220","None","Up","Up"
"ATU_RS02225","None","Up","Up"
"ATU_RS02230","None","Up","Up"
"ATU_RS02235","None","Up","Up"
"ATU_RS02240","None","Up","Up"
"ATU_RS02245","None","Up","Up"
"ATU_RS02250","None","Up","Up"
"ATU_RS02260","None","None","None"
"ATU_RS02265","None","Up","Up"
"ATU_RS02270","None","Up","None"
"ATU_RS02275","None","Up","Up"
"ATU_RS02280","None","Up","None"
"ATU_RS02285","None","None","Up"
"ATU_RS02290","None","Up","Up"
"ATU_RS02295","None","Down","Down"
"ATU_RS02300","None","None","None"
"ATU_RS02310","None","None","None"
"ATU_RS02315","None","Up","Up"
"ATU_RS02320","None","None","Up"
"ATU_RS02325","None","Up","Up"
"ATU_RS02330","None","None","None"
"ATU_RS02335","None","None","None"
"ATU_RS02340","None","None","None"
"ATU_RS02345","None","Down","Down"
"ATU_RS02350","None","Up","None"
"ATU_RS02355","None","None","Up"
"ATU_RS02360","None","Up","None"
"ATU_RS02365","None","None","None"
"ATU_RS02370","None","Up","None"
"ATU_RS02375","None","None","None"
"ATU_RS02380","None","Up","Up"
"ATU_RS02385","None","Up","Up"
"ATU_RS02390","None","None","None"
"ATU_RS02395","None","None","None"
"ATU_RS02400","None","None","None"
"ATU_RS02405","None","None","None"
"ATU_RS02410","None","Up","None"
"ATU_RS02415","None","Up","None"
"ATU_RS02420","None","Up","Up"
"ATU_RS02425","None","Down","None"
"ATU_RS02430","None","Down","None"
"ATU_RS02435","None","None","None"
"ATU_RS02440","None","None","Up"
"ATU_RS02445","None","Up","Up"
"ATU_RS02450","None","Up","None"
"ATU_RS02455","None","None","None"
"ATU_RS02460","None","None","None"
"ATU_RS02465","None","None","None"
"ATU_RS02470","None","None","None"
"ATU_RS02475","None","None","None"
"ATU_RS02480","None","None","None"
"ATU_RS02485","None","None","None"
"ATU_RS02490","None","None","None"
"ATU_RS02495","None","Down","Down"
"ATU_RS02500","None","Down","Down"
"ATU_RS02505","None","None","None"
"ATU_RS02510","None","None","None"
"ATU_RS02515","None","None","None"
"ATU_RS02520","None","None","None"
"ATU_RS02525","None","Up","Up"
"ATU_RS02530","None","None","None"
"ATU_RS02535","None","Down","None"
"ATU_RS02540","None","Down","None"
"ATU_RS02545","None","Down","Down"
"ATU_RS02550","None","None","None"
"ATU_RS02555","None","Up","None"
"ATU_RS02560","Down","Down","None"
"ATU_RS02565","None","None","None"
"ATU_RS02570","None","Down","None"
"ATU_RS02575","None","Down","Down"
"ATU_RS02580","None","None","None"
"ATU_RS02585","None","None","None"
"ATU_RS02590","None","None","None"
"ATU_RS02595","None","Up","Up"
"ATU_RS02600","None","None","None"
"ATU_RS02605","None","None","None"
"ATU_RS02610","None","Down","None"
"ATU_RS02615","None","None","None"
"ATU_RS02620","None","Down","None"
"ATU_RS02625","None","None","None"
"ATU_RS02630","None","Down","None"
"ATU_RS02635","None","None","None"
"ATU_RS02640","None","None","None"
"ATU_RS02645","None","None","None"
"ATU_RS02650","None","None","None"
"ATU_RS02655","None","None","None"
"ATU_RS02660","None","None","None"
"ATU_RS02665","None","None","None"
"ATU_RS02670","None","Down","Down"
"ATU_RS02675","Down","Down","Down"
"ATU_RS02680","None","None","None"
"ATU_RS02685","Down","Down","Down"
"ATU_RS02690","None","None","None"
"ATU_RS02695","None","None","Down"
"ATU_RS02700","None","Down","Down"
"ATU_RS02705","None","Down","Down"
"ATU_RS02710","None","None","Down"
"ATU_RS02715","None","Down","Down"
"ATU_RS02720","None","Down","Down"
"ATU_RS02725","None","Down","None"
"ATU_RS02730","None","Down","Down"
"ATU_RS02735","None","Down","Down"
"ATU_RS02740","None","None","Down"
"ATU_RS02745","None","None","Down"
"ATU_RS02750","None","Down","Down"
"ATU_RS02755","None","Down","Down"
"ATU_RS02760","None","Down","Down"
"ATU_RS02765","None","Down","None"
"ATU_RS02770","None","Down","Down"
"ATU_RS02775","None","None","None"
"ATU_RS02780","None","None","None"
"ATU_RS02785","None","Down","Down"
"ATU_RS02790","None","None","None"
"ATU_RS02795","None","None","None"
"ATU_RS02800","None","None","None"
"ATU_RS02805","None","None","None"
"ATU_RS02810","None","Down","Down"
"ATU_RS02815","None","None","None"
"ATU_RS02820","None","Down","None"
"ATU_RS02825","None","Down","Down"
"ATU_RS02830","None","Down","Down"
"ATU_RS02835","None","Down","Down"
"ATU_RS02840","None","Down","Down"
"ATU_RS02845","None","Down","Down"
"ATU_RS02850","None","Down","Down"
"ATU_RS02855","None","None","None"
"ATU_RS02860","None","Down","Down"
"ATU_RS02865","None","None","None"
"ATU_RS02870","None","None","Down"
"ATU_RS02875","None","Down","Down"
"ATU_RS02880","None","Down","Down"
"ATU_RS02885","None","Down","None"
"ATU_RS02890","None","None","None"
"ATU_RS02895","None","None","None"
"ATU_RS02900","None","None","None"
"ATU_RS02905","None","Up","Up"
"ATU_RS02910","None","None","None"
"ATU_RS02915","None","Down","None"
"ATU_RS02920","None","Down","Down"
"ATU_RS02925","None","Down","Down"
"ATU_RS02930","None","Down","Down"
"ATU_RS02935","None","Down","None"
"ATU_RS02940","None","Up","Up"
"ATU_RS02945","None","Down","Down"
"ATU_RS02950","None","Down","None"
"ATU_RS02955","None","Down","None"
"ATU_RS02960","None","None","None"
"ATU_RS02965","None","None","None"
"ATU_RS02970","None","Up","None"
"ATU_RS02975","None","None","None"
"ATU_RS02980","None","Up","Up"
"ATU_RS02985","None","Up","Up"
