gene_id,CD0_1_fpkm,CD0_2_fpkm,CD0_3_fpkm,CD3_1_fpkm,CD3_2_fpkm,CD3_3_fpkm,CD4_1_fpkm,CD4_2_fpkm,CD4_3_fpkm,ND0_1_fpkm,ND0_2_fpkm,ND0_3_fpkm,ND3_1_fpkm,ND3_2_fpkm,ND4_1_fpkm,ND4_2_fpkm,ND4_3_fpkm
Atu2609,13.17376178,13.94501911,12.50064907,20.77332704,14.52433627,8.631211491,12.76123489,12.5817838,15.19409553,19.41378188,15.13847464,8.720369015,5.189867461,4.862932354,5.536271147,5.66037356,7.134634534
Atu2588,4.000680483,3.881991806,2.61928741,5.669455975,5.776087396,3.003428323,6.459003407,3.33571102,7.049512793,3.705128521,3.186011287,3.448995454,6.077109925,2.807747129,2.037189554,2.751266943,3.03436221
Atu2589,4.908998245,2.335879636,1.7482598,0.963229,4.906727303,5.102763426,4.572381238,7.084131184,7.48561148,3.581602509,6.151100177,4.958269368,7.110534519,2.470336555,2.633478732,3.399524646,3.593101448
Atu4220,7.350565339,7.562904414,5.120681257,2.58620389,10.97852228,0,11.0488774,0,4.019670822,6.119500177,9.909169601,4.840950416,2.876770956,2.515845825,7.171720164,4.135894282,7.864590721
Atu3746,33.61640489,24.05316202,24.01703747,43.2350116,46.49529892,19.08667236,46.51961614,27.55781108,26.87963084,25.65696657,25.21669343,21.24382726,18.36262266,17.46077314,19.58825707,18.75577433,15.77720948
Atu0214,15.28001836,19.46004925,14.20209017,5.684086829,12.40927163,7.886421467,15.4182662,9.555198019,18.9313529,19.94587318,21.98628082,17.66946902,26.85098709,18.31181624,12.93972518,18.09058868,10.2723394
Atu3741,31.15413627,29.68708095,24.6308738,17.56212874,10.4372556,13.95546463,38.34845511,12.91618337,16.37782158,33.838193,30.05627815,23.01140151,13.05312014,16.46309936,19.06883577,15.10811999,16.44906584
Atu0215,1.614820122,3.329690245,4.757578404,13.73039156,4.662877825,18.1843933,3.910632972,6.058864198,6.402239346,3.094188834,6.137679595,5.140209169,51.09525616,7.164130889,9.116624557,6.057334823,8.016734803
Atu3259,152.7243899,150.1527858,120.5239711,62.93096132,77.59898364,41.67256798,187.7724562,60.60867791,51.23485191,153.2129962,146.2048167,131.0310327,38.56139192,81.55896587,99.36993083,60.64846399,58.14054734
Atu3740,75.52746648,89.61356743,129.88613,78.38768867,99.35883669,90.6561128,36.68600619,110.4295911,92.66399053,80.98496432,87.14274413,186.2527363,77.3699978,74.4000212,87.10500415,62.34449876,144.8605487
Atu8130,3.924910019,10.40528202,7.787702745,11.44199297,9.714328802,8.839635632,17.65216272,6.311316873,2.222999773,9.347028769,5.845409138,6.191007138,8.533231753,5.312385193,8.267527171,6.309723774,5.915125506
Atu1729,87.18907256,69.57257191,71.97725264,55.77971572,55.85739061,54.30061889,28.51503209,61.00939644,88.91999091,81.38361256,85.12377058,79.81379472,61.90208797,59.32163466,51.72790649,76.66314385,44.88536413
Atu1728,41.81711274,42.01285632,43.92264348,39.64650563,48.08592757,58.34159517,44.80933614,94.41730043,61.6215537,51.26684124,48.70687165,61.62227321,99.08383745,88.9900411,63.70911749,93.69939804,70.27169101
Atu6119,0.621954529,1.357881588,0.523543042,6.345979293,0,0,0,4.66719231,0,0.715043638,1.620995811,1.856036662,1.925172924,0.561212361,1.487140931,2.799608532,1.02922599
Atu0190,6.224093402,7.680595306,7.289403666,12.42512582,5.860563994,4.875766638,1.966040342,14.21488554,3.218676088,7.700118007,7.758257833,6.218231785,4.048611675,4.029032802,1.995088824,5.176972632,2.798854955
Atu6117,12.33543149,11.63698933,7.691558267,16.31543442,7.915379024,12.34742755,6.638420168,23.99858762,14.49066519,5.515105097,10.71658342,6.544247785,28.51909972,26.17778524,27.85635281,35.2176064,32.69857324
Atu1724,0,0.803919945,1.859749909,5.635608477,0,0,0,0,0,0,1.439541056,0.659308546,0,0,0.44022331,1.243109758,0.457007063
Atu6115,2.051521655,5.971976734,4.383696215,5.635608477,4.101145208,2.843330864,3.057353425,7.105277845,5.005304392,3.175007199,5.346866781,2.637234182,6.513022826,6.123078151,5.156901637,7.103484334,6.071665263
Atu1726,9.251573616,5.770996748,10.01276067,20.227809,0,0,6.401333734,39.67113463,20.95971214,6.837604789,9.472694273,3.155262325,8.181984925,7.751745741,7.37374045,5.205522113,4.374210458
Atu1721,57.49192176,55.0649273,40.05104269,30.34171349,31.48483353,35.71934398,33.6070021,66.94503969,70.73902848,68.94584829,60.71135875,59.55557638,93.92236862,91.08301245,74.52744812,74.17869012,70.53414364
Atu1720,82.65477746,74.98840086,104.6443411,102.8751643,134.3718535,82.84606329,114.8406938,101.4345778,77.31247114,84.0711487,102.5134252,96.67950489,159.8181726,135.2681417,101.3778927,163.2102622,106.1597305
Atu6111,0.727992678,2.472383306,2.04267613,11.14187512,4.204234104,6.558305781,3.525980548,1.820970114,0,0.418476359,0.158113526,0.579326853,0.250377681,0.218964823,1.063752721,0.27307657,0.301175146
Atu1722,59.54085366,42.42811017,53.25222436,28.47713892,37.60910536,41.90537562,42.05568978,74.46648736,49.17921285,38.50450071,51.72697249,36.27670315,23.99744182,54.56536108,60.0609697,30.36069881,73.64068836
Atu1105,101.4159842,78.06673238,66.83623368,28.6774001,38.54989974,71.74011703,148.6081781,79.09118613,61.28725956,90.87955732,74.16825298,77.86308737,112.6144929,141.8109046,140.194407,111.0950669,143.6014535
Atu1456,85.04139482,75.4270311,37.13489855,15.59151286,13.81283377,30.52496901,59.85304504,55.83872451,62.16417318,151.9249495,142.8557126,146.2410273,283.7302804,86.8075623,44.58663884,63.40082948,43.20808966
Atu1107,6.524525746,11.27702578,6.865192502,7.281268252,8.831208002,6.428825915,4.937667894,4.590048635,1.616727107,7.96988033,12.48791952,8.640029617,10.62380779,5.151403824,6.094000372,5.965557023,6.663742103
Atu1454,42.76956983,41.50071978,17.61808162,28.62842913,13.13823158,17.0789213,127.0822156,47.8004655,43.29383164,80.29515132,74.21453621,93.1448956,51.40566758,45.36677425,21.5168164,69.89053461,14.55679874
Atu0458,72.8091322,53.86263631,50.65172517,42.97724188,62.55080009,46.07698574,52.4597106,99.33910136,81.11238195,48.77120814,50.18497602,45.61021475,67.67321949,42.89396267,61.38788798,67.71410879,65.71984493
Atu1452,5.249119782,6.876081232,4.197627011,12.05060962,22.73566315,15.36860663,11.44068157,1.969488953,16.64884936,6.185634592,5.472297917,7.205634529,10.15494583,9.117710757,4.602050777,7.38371931,6.84052061
Atu1451,19.95845095,18.76114299,15.40040093,16.97014687,23.0524297,9.739206899,11.27785539,13.72888704,10.55050679,15.77514813,13.87135292,15.2870687,12.01250221,14.63250881,11.26773822,12.1657146,16.37625758
Atu1450,66.7027036,105.7303602,83.83798511,60.60018498,15.83075805,16.46323673,101.7891092,54.85391455,28.98133037,99.79713986,147.0553392,130.8849557,272.9348552,258.0676151,143.8334557,253.9780666,147.4270932
Atu0986,122.1795119,117.9848224,89.99123172,71.92109865,71.23841121,68.79281064,176.3923073,79.34226927,167.6776971,78.33700302,182.9473884,55.39238304,292.7332384,390.6349819,571.6404501,412.475657,475.3308698
Atu0987,25.91686616,22.66945973,32.51431449,68.65195781,73.39715095,43.77724313,26.55368067,13.0901387,25.68799737,22.7766678,22.4074017,21.71500401,14.3988242,15.17824341,17.08125734,17.94765873,19.07273584
Atu0984,9.639238649,11.77292051,16.29861231,23.51893232,21.78297965,13.96951316,6.495577605,19.49860977,20.60365814,14.98473953,10.15830161,16.50884705,26.46404184,13.57619099,9.853922685,8.394862389,13.21179988
Atu0457,17.0994602,7.800795604,17.40148751,46.87271602,24.31931969,105.7621036,21.0140335,44.04863914,20.23696345,2.200608438,4.739316633,17.51714601,6.188213886,3.051350313,1.423894708,2.656611285,1.267012684
Atu0982,26.88775695,29.10933233,32.07053967,25.20469824,18.10681055,22.25390023,5.0619019,15.68512127,21.09424175,24.24906653,25.00994693,25.85775954,28.82075306,13.93125037,14.38778624,13.68537778,14.26812423
Atu0983,386.6638992,189.2743108,577.600084,162.3265918,347.536922,364.537604,53.60369183,596.9208108,252.3000864,269.1871991,251.4891679,326.5549064,782.5648012,465.6174408,289.436541,395.4250817,402.3456012
Atu0452,14.28955925,7.466108004,12.95380259,42.99243892,38.08786342,92.42232899,28.39403478,24.74536121,20.33714644,2.106192894,2.626093462,12.90221129,5.103614359,2.148998819,0.58405865,1.23695575,0.909489303
Atu1458,338.3822793,266.7293651,307.3699947,105.8912117,191.6339549,196.8298414,388.8987402,282.8215207,311.8433925,233.7625411,237.3861634,244.8297276,466.3630768,429.169033,422.28949,369.5728615,337.9440751
Atu5521,0,2.071639858,0.479243246,10.16577068,2.465945004,0,0,2.136138019,0,0.818174932,3.153148583,1.868886146,84.14856804,10.40293452,1.020979447,32.9950017,1.53097366
Atu2328,9.131423309,13.46565908,12.54123559,6.12963909,8.326567544,9.741639268,11.63878861,9.016166962,17.14885539,16.02347789,12.83902364,12.47762828,20.82687072,13.55200304,16.5669753,14.73771196,23.3622604
